"kode","nama_daftar_isi","halaman_cetak","halaman_pdf_daftar_isi"
"2512","PENGEMBANG PERANGKAT LUNAK","406","15"
"2513","PENGEMBANG WEB DAN MULTIMEDIA","408","15"
"2514","PEMROGRAM APLIKASI","412","15"
"2515","AHLI KRIPTOGRAFI","412","15"
"2519","ANALIS DAN PENGEMBANG PERANGKAT LUNAK DAN APLIKASI YTDL","414","15"
"252","PROFESIONAL BASIS DATA DAN JARINGAN","416","15"
"2521","PENGELOLA DAN DESAINER BASIS DATA","416","15"
"2522","PENGELOLA SISTEM","418","15"
"2523","PROFESIONAL JARINGAN KOMPUTER","419","15"
"2529","PROFESIONAL BASIS DATA DAN JARINGAN YTDL","421","15"
"26","PROFESIONAL HUKUM, SOSIAL, DAN BUDAYA","423","15"
"261","PROFESIONAL HUKUM","424","15"
"2611","PENGACARA","424","15"
"2612","HAKIM","427","15"
"2619","PROFESIONAL HUKUM YTDL","429","15"
"262","PUSTAKAWAN, ARSIPARIS, DAN KURATOR","430","15"
"2621","ARSIPARIS DAN KURATOR","430","15"
"2622","PUSTAKAWAN DAN PROFESIONAL INFORMASI YBDI","432","15"
"263","PROFESIONAL SOSIAL DAN KEAGAMAAN","434","15"
"2631","AHLI EKONOMI","434","15"
"2632","AHLI SOSIOLOGI, ANTROPOLOGI, DAN PROFESIONAL YBDI","437","15"
"2633","AHLI FILSAFAT, SEJARAWAN, DAN AHLI POLITIK","439","15"
"2634","PSIKOLOG","441","15"
"2635","PROFESIONAL KONSELING DAN PEKERJA SOSIAL","444","15"
"2636","PROFESIONAL PEMIMPIN KEAGAMAAN","449","15"
"264","PENULIS, WARTAWAN, DAN AHLI BAHASA","450","15"
"2641","PENGARANG DAN PENULIS YBDI","451","15"
"2642","WARTAWAN","455","15"
"2643","PENERJEMAH, ALIH BAHASA, DAN PROFESIONAL BAHASA LAINNYA","459","16"
"265","SENIMAN KREATIF DAN PERTUNJUKAN","461","16"
"2651","SENIMAN VISUAL","461","16"
"2652","MUSISI, PENYANYI, DAN KOMPOSER","464","16"
"2653","PENARI DAN KOREOGRAFER","466","16"
"2654","PRODUSER DAN SUTRADARA FILM, PEMENTASAN, DAN YBDI","467","16"
"2655","AKTOR","471","16"
"2656","PENYIAR RADIO, TELEVISI, DAN MEDIA LAINNYA","472","16"
"2659","SENIMAN KREATIF DAN PERTUNJUKAN YTDL","474","16"
"3","TEKNISI DAN ASISTEN PROFESIONAL","479","16"
"31","ASISTEN AHLI ILMU PENGETAHUAN DAN TEKNIK","479","16"
"311","TEKNISI ILMU FISIKA DAN TEKNIK","480","16"
"3111","TEKNISI ILMU KIMIA DAN FISIKA","480","16"
"3112","TEKNISI SIPIL","483","16"
"3113","AHLI TEKNIK LISTRIK","491","16"
"3114","TEKNISI ELEKTRONIK","493","16"
"3115","TEKNISI MEKANIS","494","16"
"3116","TEKNISI KIMIA","498","16"
"3117","TEKNISI PERTAMBANGAN DAN METALURGI","499","16"
"3118","JURU GAMBAR TEKNIK","502","16"
"3119","TEKNISI ILMU FISIKA DAN TEKNIK YTDL","504","16"
"312","SUPERVISOR PERTAMBANGAN, INDUSTRI PENGOLAHAN, DAN KONSTRUKSI","507","16"
"3121","SUPERVISOR PERTAMBANGAN","508","16"
"3122","SUPERVISOR INDUSTRI PENGOLAHAN","509","16"
"3123","SUPERVISOR KONSTRUKSI","512","16"
"313","TEKNISI PENGAWASAN PROSES","513","16"
"3131","OPERATOR MESIN PRODUKSI TENAGA LISTRIK","514","16"
"3132","OPERATOR BANGUNAN PEMBAKARAN SAMPAH (INSINERATOR) DAN PENGOLAHAN AIR","519","16"
"3133","PENGAWAS MESIN PENGOLAHAN BAHAN KIMIA","524","16"
"3134","PENGAWAS MESIN PENGILANGAN MINYAK BUMI DAN GAS ALAM","527","16"
"3135","PENGAWAS PROSES PRODUKSI LOGAM","529","16"
