"halaman_pdf","alasan","teks"
"155","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  123"
"155","teks_miring_watermark","https://www.bps.go.id"
"156","margin_kepala_kaki","124 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"156","teks_miring_watermark","https://www.bps.go.id"
"157","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  125"
"157","teks_miring_watermark","https://www.bps.go.id"
"158","margin_kepala_kaki","126 | Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"158","teks_miring_watermark","https://www.bps.go.id"
"159","margin_kepala_kaki","Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri)  |  127"
"159","teks_miring_watermark","https://www.bps.go.id"
"160","teks_miring_watermark","https://www.bps.go.id"
"161","margin_kepala_kaki","Manajer  |  129"
"161","teks_miring_watermark","https://www.bps.go.id"
"162","margin_kepala_kaki","130  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"162","teks_miring_watermark","https://www.bps.go.id"
"163","margin_kepala_kaki","Manajer  |  131"
"163","teks_miring_watermark","https://www.bps.go.id"
"164","margin_kepala_kaki","132  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"164","teks_miring_watermark","https://www.bps.go.id"
"165","margin_kepala_kaki","Manajer  |  133"
"165","teks_miring_watermark","https://www.bps.go.id"
"166","margin_kepala_kaki","134  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"166","teks_miring_watermark","https://www.bps.go.id"
"167","margin_kepala_kaki","Manajer  |  135"
"167","teks_miring_watermark","https://www.bps.go.id"
"168","margin_kepala_kaki","136  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"168","teks_miring_watermark","https://www.bps.go.id"
"169","margin_kepala_kaki","Manajer  |  137"
"169","teks_miring_watermark","https://www.bps.go.id"
"170","margin_kepala_kaki","138  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"170","teks_miring_watermark","https://www.bps.go.id"
"171","margin_kepala_kaki","Manajer  |  139"
"171","teks_miring_watermark","https://www.bps.go.id"
"172","margin_kepala_kaki","140  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"172","teks_miring_watermark","https://www.bps.go.id"
"173","margin_kepala_kaki","Manajer  |  141"
"173","teks_miring_watermark","https://www.bps.go.id"
"174","margin_kepala_kaki","142  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"174","teks_miring_watermark","https://www.bps.go.id"
"175","margin_kepala_kaki","Manajer  |  143"
"175","teks_miring_watermark","https://www.bps.go.id"
"176","margin_kepala_kaki","144  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"176","teks_miring_watermark","https://www.bps.go.id"
"177","margin_kepala_kaki","Manajer  |  145"
