"kode","ada_daftar_isi","ada_uraian","nama_daftar_isi","nama_uraian","nama_cocok","halaman_cetak_daftar_isi","halaman_cetak_uraian","halaman_cocok"
"241","True","True","PROFESIONAL KEUANGAN","PROFESIONAL KEUANGAN","True","383","383","True"
"2411","True","True","AKUNTAN","AKUNTAN","True","384","384","True"
"2412","True","True","KONSULTAN KEUANGAN DAN INVESTASI","KONSULTAN KEUANGAN DAN INVESTASI","True","387","387","True"
"2413","True","True","ANALIS KEUANGAN","ANALIS KEUANGAN","True","388","388","True"
"242","True","True","PROFESIONAL ADMINISTRASI","PROFESIONAL ADMINISTRASI","True","389","389","True"
"2421","True","True","ANALIS MANAJEMEN DAN ORGANISASI","ANALIS MANAJEMEN DAN ORGANISASI","True","389","389","True"
"2422","True","True","PROFESIONAL KEBIJAKAN ADMINISTRASI","PROFESIONAL KEBIJAKAN ADMINISTRASI","True","391","391","True"
"2423","True","True","PROFESIONAL PERSONALIA DAN KARIER","PROFESIONAL PERSONALIA DAN KARIER","True","392","392","True"
"2424","True","True","PROFESIONAL PELATIHAN DAN PENGEMBANGAN STAF","PROFESIONAL PELATIHAN DAN PENGEMBANGAN STAF","True","395","395","True"
"243","True","True","PROFESIONAL PENJUALAN, PEMASARAN, DAN HUBUNGAN MASYARAKAT","PROFESIONAL PENJUALAN, PEMASARAN, DAN HUBUNGAN MASYARAKAT","True","397","397","True"
"2431","True","True","PROFESIONAL PERIKLANAN DAN PEMASARAN","PROFESIONAL PERIKLANAN DAN PEMASARAN","True","397","397","True"
"2432","True","True","PROFESIONAL HUBUNGAN MASYARAKAT","PROFESIONAL HUBUNGAN MASYARAKAT","True","399","399","True"
"2433","True","True","PROFESIONAL PENJUALAN PRODUK TEKNIK DAN MEDIS (SELAIN TIK)","PROFESIONAL PENJUALAN PRODUK TEKNIK DAN MEDIS (SELAIN TIK)","True","400","400","True"
"2434","True","True","PROFESIONAL PENJUALAN PRODUK TEKNOLOGI INFORMASI DAN KOMUNIKASI","PROFESIONAL PENJUALAN PRODUK TEKNOLOGI INFORMASI DAN KOMUNIKASI","True","402","402","True"
"25","True","True","PROFESIONAL TEKNOLOGI INFORMASI DAN KOMUNIKASI","PROFESIONAL TEKNOLOGI INFORMASI DAN KOMUNIKASI","True","403","403","True"
"251","True","True","ANALIS DAN PENGEMBANG PERANGKAT LUNAK SERTA APLIKASI","ANALIS DAN PENGEMBANG PERANGKAT LUNAK SERTA APLIKASI","True","404","404","True"
"2511","True","True","ANALIS SISTEM","ANALIS SISTEM","True","404","404","True"
"2512","True","True","PENGEMBANG PERANGKAT LUNAK","PENGEMBANG PERANGKAT LUNAK","True","406","406","True"
"2513","True","True","PENGEMBANG WEB DAN MULTIMEDIA","PENGEMBANG WEB DAN MULTIMEDIA","True","408","408","True"
"2514","True","True","PEMROGRAM APLIKASI","PEMROGRAM APLIKASI","True","412","412","True"
"2515","True","True","AHLI KRIPTOGRAFI","AHLI KRIPTOGRAFI","True","412","412","True"
"2519","True","True","ANALIS DAN PENGEMBANG PERANGKAT LUNAK DAN APLIKASI YTDL","ANALIS DAN PENGEMBANG PERANGKAT LUNAK DAN APLIKASI YTDL","True","414","414","True"
"252","True","True","PROFESIONAL BASIS DATA DAN JARINGAN","PROFESIONAL BASIS DATA DAN JARINGAN","True","416","416","True"
"2521","True","True","PENGELOLA DAN DESAINER BASIS DATA","PENGELOLA DAN DESAINER BASIS DATA","True","416","416","True"
"2522","True","True","PENGELOLA SISTEM","PENGELOLA SISTEM","True","418","418","True"
"2523","True","True","PROFESIONAL JARINGAN KOMPUTER","PROFESIONAL JARINGAN KOMPUTER","True","419","419","True"
"2529","True","True","PROFESIONAL BASIS DATA DAN JARINGAN YTDL","PROFESIONAL BASIS DATA DAN JARINGAN YTDL","True","421","421","True"
"26","True","True","PROFESIONAL HUKUM, SOSIAL, DAN BUDAYA","PROFESIONAL HUKUM, SOSIAL, DAN BUDAYA","True","423","423","True"
"261","True","True","PROFESIONAL HUKUM","PROFESIONAL HUKUM","True","424","424","True"
"2611","True","True","PENGACARA","PENGACARA","True","424","424","True"
"2612","True","True","HAKIM","HAKIM","True","427","427","True"
"2619","True","True","PROFESIONAL HUKUM YTDL","PROFESIONAL HUKUM YTDL","True","429","429","True"
"262","True","True","PUSTAKAWAN, ARSIPARIS, DAN KURATOR","PUSTAKAWAN, ARSIPARIS, DAN KURATOR","True","430","430","True"
"2621","True","True","ARSIPARIS DAN KURATOR","ARSIPARIS DAN KURATOR","True","430","430","True"
"2622","True","True","PUSTAKAWAN DAN PROFESIONAL INFORMASI YBDI","PUSTAKAWAN DAN PROFESIONAL INFORMASI YBDI","True","432","432","True"
"263","True","True","PROFESIONAL SOSIAL DAN KEAGAMAAN","PROFESIONAL SOSIAL DAN KEAGAMAAN","True","434","434","True"
"2631","True","True","AHLI EKONOMI","AHLI EKONOMI","True","434","434","True"
"2632","True","True","AHLI SOSIOLOGI, ANTROPOLOGI, DAN PROFESIONAL YBDI","AHLI SOSIOLOGI, ANTROPOLOGI, DAN PROFESIONAL YBDI","True","437","437","True"
"2633","True","True","AHLI FILSAFAT, SEJARAWAN, DAN AHLI POLITIK","AHLI FILSAFAT, SEJARAWAN, DAN AHLI POLITIK","True","439","439","True"
"2634","True","True","PSIKOLOG","PSIKOLOG","True","441","441","True"
"2635","True","True","PROFESIONAL KONSELING DAN PEKERJA SOSIAL","PROFESIONAL KONSELING DAN PEKERJA SOSIAL","True","444","444","True"
"2636","True","True","PROFESIONAL PEMIMPIN KEAGAMAAN","PROFESIONAL PEMIMPIN KEAGAMAAN","True","449","449","True"
"264","True","True","PENULIS, WARTAWAN, DAN AHLI BAHASA","PENULIS, WARTAWAN, DAN AHLI BAHASA","True","450","450","True"
"2641","True","True","PENGARANG DAN PENULIS YBDI","PENGARANG DAN PENULIS YBDI","True","451","451","True"
"2642","True","True","WARTAWAN","WARTAWAN","True","455","455","True"
"2643","True","True","PENERJEMAH, ALIH BAHASA, DAN PROFESIONAL BAHASA LAINNYA","PENERJEMAH, ALIH BAHASA, DAN PROFESIONAL BAHASA LAINNYA","True","459","459","True"
"265","True","True","SENIMAN KREATIF DAN PERTUNJUKAN","SENIMAN KREATIF DAN PERTUNJUKAN","True","461","461","True"
"2651","True","True","SENIMAN VISUAL","SENIMAN VISUAL","True","461","461","True"
"2652","True","True","MUSISI, PENYANYI, DAN KOMPOSER","MUSISI, PENYANYI, DAN KOMPOSER","True","464","464","True"
"2653","True","True","PENARI DAN KOREOGRAFER","PENARI DAN KOREOGRAFER","True","466","466","True"
"2654","True","True","PRODUSER DAN SUTRADARA FILM, PEMENTASAN, DAN YBDI","PRODUSER DAN SUTRADARA FILM, PEMENTASAN, DAN YBDI","True","467","467","True"
"2655","True","True","AKTOR","AKTOR","True","471","471","True"
"2656","True","True","PENYIAR RADIO, TELEVISI, DAN MEDIA LAINNYA","PENYIAR RADIO, TELEVISI, DAN MEDIA LAINNYA","True","472","472","True"
"2659","True","True","SENIMAN KREATIF DAN PERTUNJUKAN YTDL","SENIMAN KREATIF DAN PERTUNJUKAN YTDL","True","474","474","True"
"3","True","True","TEKNISI DAN ASISTEN PROFESIONAL","TEKNISI DAN ASISTEN PROFESIONAL","True","479","479","True"
"31","True","True","ASISTEN AHLI ILMU PENGETAHUAN DAN TEKNIK","ASISTEN AHLI ILMU PENGETAHUAN DAN TEKNIK","True","479","479","True"
"311","True","True","TEKNISI ILMU FISIKA DAN TEKNIK","TEKNISI ILMU FISIKA DAN TEKNIK","True","480","480","True"
"3111","True","True","TEKNISI ILMU KIMIA DAN FISIKA","TEKNISI ILMU KIMIA DAN FISIKA","True","480","480","True"
