"kode","ada_daftar_isi","ada_uraian","nama_daftar_isi","nama_uraian","nama_cocok","halaman_cetak_daftar_isi","halaman_cetak_uraian","halaman_cocok"
"3112","True","True","TEKNISI SIPIL","TEKNISI SIPIL","True","483","483","True"
"3113","True","True","AHLI TEKNIK LISTRIK","AHLI TEKNIK LISTRIK","True","491","491","True"
"3114","True","True","TEKNISI ELEKTRONIK","TEKNISI ELEKTRONIK","True","493","493","True"
"3115","True","True","TEKNISI MEKANIS","TEKNISI MEKANIS","True","494","494","True"
"3116","True","True","TEKNISI KIMIA","TEKNISI KIMIA","True","498","498","True"
"3117","True","True","TEKNISI PERTAMBANGAN DAN METALURGI","TEKNISI PERTAMBANGAN DAN METALURGI","True","499","499","True"
"3118","True","True","JURU GAMBAR TEKNIK","JURU GAMBAR TEKNIK","True","502","502","True"
"3119","True","True","TEKNISI ILMU FISIKA DAN TEKNIK YTDL","TEKNISI ILMU FISIKA DAN TEKNIK YTDL","True","504","504","True"
"312","True","True","SUPERVISOR PERTAMBANGAN, INDUSTRI PENGOLAHAN, DAN KONSTRUKSI","SUPERVISOR PERTAMBANGAN, INDUSTRI PENGOLAHAN, DAN KONSTRUKSI","True","507","507","True"
"3121","True","True","SUPERVISOR PERTAMBANGAN","SUPERVISOR PERTAMBANGAN","True","508","508","True"
"3122","True","True","SUPERVISOR INDUSTRI PENGOLAHAN","SUPERVISOR INDUSTRI PENGOLAHAN","True","509","509","True"
"3123","True","True","SUPERVISOR KONSTRUKSI","SUPERVISOR KONSTRUKSI","True","512","512","True"
"313","True","True","TEKNISI PENGAWASAN PROSES","TEKNISI PENGAWASAN PROSES","True","513","513","True"
"3131","True","True","OPERATOR MESIN PRODUKSI TENAGA LISTRIK","OPERATOR MESIN PRODUKSI TENAGA LISTRIK","True","514","514","True"
"3132","True","True","OPERATOR BANGUNAN PEMBAKARAN SAMPAH (INSINERATOR) DAN PENGOLAHAN AIR","OPERATOR BANGUNAN PEMBAKARAN SAMPAH (INSINERATOR) DAN PENGOLAHAN AIR","True","519","519","True"
"3133","True","True","PENGAWAS MESIN PENGOLAHAN BAHAN KIMIA","PENGAWAS MESIN PENGOLAHAN BAHAN KIMIA","True","524","524","True"
"3134","True","True","PENGAWAS MESIN PENGILANGAN MINYAK BUMI DAN GAS ALAM","PENGAWAS MESIN PENGILANGAN MINYAK BUMI DAN GAS ALAM","True","527","527","True"
"3135","True","True","PENGAWAS PROSES PRODUKSI LOGAM","PENGAWAS PROSES PRODUKSI LOGAM","True","529","529","True"
"3139","True","True","TEKNISI PROSES KONTROL YTDL","TEKNISI PROSES KONTROL YTDL","True","531","531","True"
"314","True","True","TEKNISI ILMU HAYATI DAN ASISTEN PROFESIONAL YBDI","TEKNISI ILMU HAYATI DAN ASISTEN PROFESIONAL YBDI","True","532","532","True"
"3141","True","True","TEKNISI ILMU HAYATI (SELAIN KEDOKTERAN)","TEKNISI ILMU HAYATI (SELAIN KEDOKTERAN)","True","532","532","True"
"3142","True","True","TEKNISI PERTANIAN","TEKNISI PERTANIAN","True","536","536","True"
"3143","True","True","TEKNISI KEHUTANAN","TEKNISI KEHUTANAN","True","539","539","True"
"315","True","True","PENGAWAS DAN TEKNISI KAPAL DAN PESAWAT UDARA","PENGAWAS DAN TEKNISI KAPAL DAN PESAWAT UDARA","True","542","542","True"
"3151","True","True","TEKNISI KAPAL","TEKNISI KAPAL","True","542","542","True"
"3152","True","True","NAKHODA DAN PERWIRA GELADAK KAPAL","NAKHODA DAN PERWIRA GELADAK KAPAL","True","543","543","True"
"3153","True","True","PILOT DAN PROFESIONAL YBDI","PILOT DAN PROFESIONAL YBDI","True","544","544","True"
"3154","True","True","PENGAWAS LALU LINTAS UDARA","PENGAWAS LALU LINTAS UDARA","True","548","548","True"
"3155","True","True","TEKNISI PERANGKAT ELEKTRONIK KESELAMATAN LALU LINTAS UDARA","TEKNISI PERANGKAT ELEKTRONIK KESELAMATAN LALU LINTAS UDARA","True","549","549","True"
"32","True","True","ASISTEN PROFESIONAL KESEHATAN","ASISTEN PROFESIONAL KESEHATAN","True","550","550","True"
"321","True","True","TEKNISI MEDIS DAN FARMASI","TEKNISI MEDIS DAN FARMASI","True","551","551","True"
"3211","True","True","TEKNISI PERALATAN PEREKAM MEDIS DAN TERAPEUTIK","TEKNISI PERALATAN PEREKAM MEDIS DAN TERAPEUTIK","True","551","551","True"
"3212","True","True","TEKNISI LABORATORIUM MEDIS DAN PATOLOGI","TEKNISI LABORATORIUM MEDIS DAN PATOLOGI","True","555","555","True"
"3213","True","True","TEKNISI FARMASI DAN ASISTEN APOTEKER","TEKNISI FARMASI DAN ASISTEN APOTEKER","True","557","557","True"
"3214","True","True","TEKNISI PROSTETIK MEDIS DAN GIGI","TEKNISI PROSTETIK MEDIS DAN GIGI","True","559","559","True"
"322","True","True","ASISTEN PROFESIONAL KEPERAWATAN DAN KEBIDANAN","ASISTEN PROFESIONAL KEPERAWATAN DAN KEBIDANAN","True","562","562","True"
"3221","True","True","ASISTEN PROFESIONAL KEPERAWATAN","ASISTEN PROFESIONAL KEPERAWATAN","True","562","562","True"
"3222","True","True","ASISTEN PROFESIONAL KEBIDANAN","ASISTEN PROFESIONAL KEBIDANAN","True","565","565","True"
"323","True","True","ASISTEN PROFESIONAL PENGOBATAN TRADISIONAL DAN KOMPLEMENTER","ASISTEN PROFESIONAL PENGOBATAN TRADISIONAL DAN KOMPLEMENTER","True","567","567","True"
"3230","True","True","ASISTEN PROFESIONAL PENGOBATAN TRADISIONAL DAN KOMPLEMENTER","ASISTEN PROFESIONAL PENGOBATAN TRADISIONAL DAN KOMPLEMENTER","True","568","568","True"
"324","True","True","TEKNISI DAN ASISTEN KEDOKTERAN HEWAN","TEKNISI DAN ASISTEN KEDOKTERAN HEWAN","True","571","571","True"
"3240","True","True","TEKNISI DAN ASISTEN KEDOKTERAN HEWAN","TEKNISI DAN ASISTEN KEDOKTERAN HEWAN","True","571","571","True"
"325","True","True","ASISTEN PROFESIONAL KESEHATAN LAINNYA","ASISTEN PROFESIONAL KESEHATAN LAINNYA","True","574","574","True"
"3251","True","True","ASISTEN DAN TERAPIS GIGI","ASISTEN DAN TERAPIS GIGI","True","575","575","True"
"3252","True","True","TEKNISI INFORMASI KESEHATAN DAN REKAM MEDIS","TEKNISI INFORMASI KESEHATAN DAN REKAM MEDIS","True","577","577","True"
"3253","True","True","PEKERJA KESEHATAN MASYARAKAT","PEKERJA KESEHATAN MASYARAKAT","True","578","578","True"
"3254","True","True","OPTISIEN","OPTISIEN","True","580","580","True"
"3255","True","True","TEKNISI DAN ASISTEN FISIOTERAPI","TEKNISI DAN ASISTEN FISIOTERAPI","True","582","582","True"
"3256","True","True","ASISTEN MEDIS","ASISTEN MEDIS","True","586","586","True"
"3257","True","True","ASISTEN DAN PENGAWAS KESEHATAN LINGKUNGAN DAN PEKERJAAN","ASISTEN DAN PENGAWAS KESEHATAN LINGKUNGAN DAN PEKERJAAN","True","588","588","True"
"3258","True","True","PEKERJA AMBULANS","PEKERJA AMBULANS","True","590","590","True"
"3259","True","True","ASISTEN PROFESIONAL KESEHATAN YTDL","ASISTEN PROFESIONAL KESEHATAN YTDL","True","592","592","True"
"33","True","True","ASISTEN PROFESIONAL BISNIS DAN ADMINISTRASI","ASISTEN PROFESIONAL BISNIS DAN ADMINISTRASI","True","594","594","True"
"331","True","True","ASISTEN PROFESIONAL KEUANGAN DAN MATEMATIKA","ASISTEN PROFESIONAL KEUANGAN DAN MATEMATIKA","True","594","594","True"
"3311","True","True","DEALER DAN PIALANG SEKURITAS DAN KEUANGAN","DEALER DAN PIALANG SEKURITAS DAN KEUANGAN","True","595","595","True"
"3312","True","True","PETUGAS KREDIT DAN PINJAMAN","PETUGAS KREDIT DAN PINJAMAN","True","597","597","True"
"3313","True","True","ASISTEN PROFESIONAL AKUNTANSI","ASISTEN PROFESIONAL AKUNTANSI","True","598","598","True"
"3314","True","True","ASISTEN PROFESIONAL STATISTIKA, MATEMATIKA, DAN YBDI","ASISTEN PROFESIONAL STATISTIKA, MATEMATIKA, DAN YBDI","True","599","599","True"
"3315","True","True","JURU TAKSIR NILAI DAN KERUGIAN","JURU TAKSIR NILAI DAN KERUGIAN","True","601","601","True"
"332","True","True","AGEN DAN PERANTARA PENJUALAN DAN PEMBELIAN","AGEN DAN PERANTARA PENJUALAN DAN PEMBELIAN","True","603","603","True"
"3321","True","True","PERWAKILAN ASURANSI","PERWAKILAN ASURANSI","True","603","603","True"
"3322","True","True","PERWAKILAN PENJUALAN KOMERSIAL","PERWAKILAN PENJUALAN KOMERSIAL","True","604","604","True"
"3323","True","True","JURU PEMBELIAN","JURU PEMBELIAN","True","607","607","True"
"3324","True","True","PIALANG PERDAGANGAN","PIALANG PERDAGANGAN","True","609","609","True"
"333","True","True","AGEN JASA BISNIS","AGEN JASA BISNIS","True","611","611","True"
"3331","True","True","AGEN KLIRING DAN PENGIRIMAN","AGEN KLIRING DAN PENGIRIMAN","True","611","611","True"
"3332","True","True","PERENCANA KONFERENSI DAN ACARA","PERENCANA KONFERENSI DAN ACARA","True","613","613","True"
"3333","True","True","AGEN DAN KONTRAKTOR TENAGA KERJA","AGEN DAN KONTRAKTOR TENAGA KERJA","True","614","614","True"
"3334","True","True","AGEN REAL ESTAT DAN MANAJER PROPERTI","AGEN REAL ESTAT DAN MANAJER PROPERTI","True","616","616","True"
"3339","True","True","AGEN JASA BISNIS YTDL","AGEN JASA BISNIS YTDL","True","618","618","True"
"334","True","True","SEKRETARIS ADMINISTRASI DAN KHUSUS","SEKRETARIS ADMINISTRASI DAN KHUSUS","True","620","620","True"
"3341","True","True","SUPERVISOR KANTOR","SUPERVISOR KANTOR","True","621","621","True"
"3342","True","True","SEKRETARIS HUKUM","SEKRETARIS HUKUM","True","623","623","True"
"3343","True","True","SEKRETARIS ADMINISTRASI DAN EKSEKUTIF","SEKRETARIS ADMINISTRASI DAN EKSEKUTIF","True","625","625","True"
"3344","True","True","SEKRETARIS MEDIS","SEKRETARIS MEDIS","True","628","628","True"
"335","True","True","PROFESIONAL PEMERINTAHAN","PROFESIONAL PEMERINTAHAN","True","630","630","True"
"3351","True","True","PENGAWAS BEA CUKAI DAN PERBATASAN","PENGAWAS BEA CUKAI DAN PERBATASAN","True","631","631","True"
"3352","True","True","PETUGAS PAJAK DAN RETRIBUSI PEMERINTAH","PETUGAS PAJAK DAN RETRIBUSI PEMERINTAH","True","634","634","True"
"3353","True","True","PEGAWAI PEMERINTAH BIDANG JAMINAN SOSIAL","PEGAWAI PEMERINTAH BIDANG JAMINAN SOSIAL","True","635","635","True"
"3354","True","True","PEGAWAI PEMERINTAH BIDANG PERIZINAN","PEGAWAI PEMERINTAH BIDANG PERIZINAN","True","636","636","True"
"3359","True","True","PROFESIONAL PEMERINTAHAN YTDL","PROFESIONAL PEMERINTAHAN YTDL","True","637","637","True"
"34","True","True","ASISTEN PROFESIONAL HUKUM, SOSIAL, BUDAYA, DAN YBDI","ASISTEN PROFESIONAL HUKUM, SOSIAL, BUDAYA, DAN YBDI","True","640","640","True"
"341","True","True","ASISTEN PROFESIONAL HUKUM, SOSIAL, DAN KEAGAMAAN","ASISTEN PROFESIONAL HUKUM, SOSIAL, DAN KEAGAMAAN","True","640","640","True"
"3411","True","True","ASISTEN PROFESIONAL HUKUM DAN YBDI","ASISTEN PROFESIONAL HUKUM DAN YBDI","True","641","641","True"
"3412","True","True","ASISTEN PROFESIONAL PEKERJAAN SOSIAL","ASISTEN PROFESIONAL PEKERJAAN SOSIAL","True","644","644","True"
"3413","True","True","ASISTEN PROFESIONAL KEAGAMAAN","ASISTEN PROFESIONAL KEAGAMAAN","True","646","646","True"
"342","True","True","PEKERJA OLAHRAGA DAN KEBUGARAN","PEKERJA OLAHRAGA DAN KEBUGARAN","True","649","649","True"
"3421","True","True","ATLET DAN OLAHRAGAWAN","ATLET DAN OLAHRAGAWAN","True","649","649","True"
"3422","True","True","PELATIH, INSTRUKTUR, DAN KRU OLAHRAGA","PELATIH, INSTRUKTUR, DAN KRU OLAHRAGA","True","650","650","True"
"3423","True","True","INSTRUKTUR DAN PELATIH PROGRAM KEBUGARAN DAN REKREASI","INSTRUKTUR DAN PELATIH PROGRAM KEBUGARAN DAN REKREASI","True","653","653","True"
"343","True","True","ASISTEN PROFESIONAL KESENIAN, BUDAYA, DAN KULINER","ASISTEN PROFESIONAL KESENIAN, BUDAYA, DAN KULINER","True","655","655","True"
"3431","True","True","FOTOGRAFER","FOTOGRAFER","True","656","656","True"
"3432","True","True","DESAINER DAN DEKORATOR INTERIOR","DESAINER DAN DEKORATOR INTERIOR","True","658","658","True"
"3433","True","True","TEKNISI GALERI, MUSEUM, DAN PERPUSTAKAAN","TEKNISI GALERI, MUSEUM, DAN PERPUSTAKAAN","True","660","660","True"
"3434","True","True","CHEF","CHEF","True","662","662","True"
"3435","True","True","ASISTEN PROFESIONAL KESENIAN DAN BUDAYA LAINNYA","ASISTEN PROFESIONAL KESENIAN DAN BUDAYA LAINNYA","True","663","663","True"
"35","True","True","TEKNISI INFORMASI DAN KOMUNIKASI","TEKNISI INFORMASI DAN KOMUNIKASI","True","670","670","True"
"351","True","True","TEKNISI OPERASI TEKNOLOGI INFORMASI DAN KOMUNIKASI DAN PENDUKUNG PENGGUNA","TEKNISI OPERASI TEKNOLOGI INFORMASI DAN KOMUNIKASI DAN PENDUKUNG PENGGUNA","True","670","670","True"
"3511","True","True","TEKNISI OPERASI TEKNOLOGI INFORMASI DAN KOMUNIKASI","TEKNISI OPERASI TEKNOLOGI INFORMASI DAN KOMUNIKASI","True","671","671","True"
"3512","True","True","TEKNISI PENDUKUNG PENGGUNAAN TEKNOLOGI INFORMASI DAN KOMUNIKASI","TEKNISI PENDUKUNG PENGGUNAAN TEKNOLOGI INFORMASI DAN KOMUNIKASI","True","673","673","True"
"3513","True","True","TEKNISI JARINGAN DAN SISTEM KOMPUTER","TEKNISI JARINGAN DAN SISTEM KOMPUTER","True","674","674","True"
"3514","True","True","TEKNISI WEB","TEKNISI WEB","True","675","675","True"
"352","True","True","TEKNISI TELEKOMUNIKASI DAN PENYIARAN","TEKNISI TELEKOMUNIKASI DAN PENYIARAN","True","677","677","True"
"3521","True","True","TEKNISI PENYIARAN DAN AUDIO-VISUAL","TEKNISI PENYIARAN DAN AUDIO-VISUAL","True","677","677","True"
"3522","True","True","TEKNISI REKAYASA TELEKOMUNIKASI","TEKNISI REKAYASA TELEKOMUNIKASI","True","680","680","True"
"4","True","True","TENAGA TATA USAHA","TENAGA TATA USAHA","True","685","685","True"
"41","True","True","TENAGA TATA USAHA PERKANTORAN UMUM","TENAGA TATA USAHA PERKANTORAN UMUM","True","685","685","True"
"411","True","True","TENAGA PERKANTORAN UMUM","TENAGA PERKANTORAN UMUM","True","685","685","True"
"4110","True","True","TENAGA PERKANTORAN UMUM","TENAGA PERKANTORAN UMUM","True","686","686","True"
"412","True","True","SEKRETARIS","SEKRETARIS","True","686","686","True"
"4120","True","True","SEKRETARIS","SEKRETARIS","True","687","687","True"
"413","True","True","JURU KETIK","JURU KETIK","True","688","688","True"
"4131","True","True","JURU KETIK DAN OPERATOR MESIN PENGOLAH KATA","JURU KETIK DAN OPERATOR MESIN PENGOLAH KATA","True","688","688","True"
"4132","True","True","PETUGAS ENTRI DATA","PETUGAS ENTRI DATA","True","690","690","True"
"42","True","True","TENAGA TATA USAHA PELAYANAN PELANGGAN","TENAGA TATA USAHA PELAYANAN PELANGGAN","True","691","691","True"
"421","True","True","TELLER, KOLEKTOR UANG, DAN YBDI","TELLER, KOLEKTOR UANG, DAN YBDI","True","691","691","True"
"4211","True","True","TELLER BANK DAN YBDI","TELLER BANK DAN YBDI","True","692","692","True"
"4212","True","True","JURU GADAI DAN PEMBERI PINJAMAN UANG","JURU GADAI DAN PEMBERI PINJAMAN UANG","True","693","693","True"
"4213","True","True","PENAGIH HUTANG DAN YBDI","PENAGIH HUTANG DAN YBDI","True","694","694","True"
"4219","True","True","TELLER, KOLEKTOR UANG, DAN YBDI LAINNYA","TELLER, KOLEKTOR UANG, DAN YBDI LAINNYA","True","695","695","True"
"422","True","True","TENAGA TATA USAHA INFORMASI PELANGGAN","TENAGA TATA USAHA INFORMASI PELANGGAN","True","696","696","True"
"4221","True","True","TENAGA TATA USAHA PERJALANAN DAN KONSULTAN PERJALANAN","TENAGA TATA USAHA PERJALANAN DAN KONSULTAN PERJALANAN","True","696","696","True"
"4222","True","True","TENAGA TATA USAHA INFORMASI PUSAT KONTAK","TENAGA TATA USAHA INFORMASI PUSAT KONTAK","True","698","698","True"
"4223","True","True","OPERATOR TELEPON","OPERATOR TELEPON","True","699","699","True"
"4224","True","True","RESEPSIONIS HOTEL","RESEPSIONIS HOTEL","True","700","700","True"
"4225","True","True","TENAGA TATA USAHA PENERANGAN","TENAGA TATA USAHA PENERANGAN","True","701","701","True"
"4226","True","True","RESEPSIONIS","RESEPSIONIS","True","702","702","True"
"4227","True","True","PEWAWANCARA SURVEI DAN PENELITIAN PASAR","PEWAWANCARA SURVEI DAN PENELITIAN PASAR","True","703","703","True"
"4229","True","True","TENAGA TATA USAHA INFORMASI PELANGGAN YTDL","TENAGA TATA USAHA INFORMASI PELANGGAN YTDL","True","704","704","True"
"43","True","True","TENAGA TATA USAHA PENGHITUNGAN DAN PENCATATAN DOKUMEN","TENAGA TATA USAHA PENGHITUNGAN DAN PENCATATAN DOKUMEN","True","705","705","True"
"431","True","True","TENAGA TATA USAHA PENGHITUNGAN","TENAGA TATA USAHA PENGHITUNGAN","True","705","705","True"
"4311","True","True","JURU TATA USAHA AKUNTANSI DAN PEMBUKUAN","JURU TATA USAHA AKUNTANSI DAN PEMBUKUAN","True","706","706","True"
"4312","True","True","JURU TATA USAHA STATISTIK, KEUANGAN, DAN ASURANSI","JURU TATA USAHA STATISTIK, KEUANGAN, DAN ASURANSI","True","707","707","True"
"4313","True","True","JURU TATA USAHA PENGGAJIAN","JURU TATA USAHA PENGGAJIAN","True","710","710","True"
"432","True","True","TENAGA TATA USAHA PENCATATAN BARANG DAN TRANSPORTASI","TENAGA TATA USAHA PENCATATAN BARANG DAN TRANSPORTASI","True","711","711","True"
"4321","True","True","JURU TATA USAHA PERGUDANGAN","JURU TATA USAHA PERGUDANGAN","True","711","711","True"
"4322","True","True","JURU TATA USAHA PRODUKSI","JURU TATA USAHA PRODUKSI","True","713","713","True"
"4323","True","True","JURU TATA USAHA TRANSPORTASI","JURU TATA USAHA TRANSPORTASI","True","714","714","True"
"44","True","True","TENAGA TATA USAHA LAINNYA","TENAGA TATA USAHA LAINNYA","True","716","716","True"
"441","True","True","TENAGA TATA USAHA LAINNYA","TENAGA TATA USAHA LAINNYA","True","716","716","True"
"4411","True","True","JURU TATA USAHA PERPUSTAKAAN","JURU TATA USAHA PERPUSTAKAAN","True","716","716","True"
"4412","True","True","JURU TATA USAHA PENGIRIMAN DAN PENYORTIRAN SURAT","JURU TATA USAHA PENGIRIMAN DAN PENYORTIRAN SURAT","True","717","717","True"
"4413","True","True","JURU KODE, JURU KOREKSI, DAN YBDI","JURU KODE, JURU KOREKSI, DAN YBDI","True","718","718","True"
"4414","True","True","JURU TULIS DAN YBDI","JURU TULIS DAN YBDI","True","719","719","True"
"4415","True","True","JURU TATA USAHA PENGARSIPAN DAN PENGGANDAAN","JURU TATA USAHA PENGARSIPAN DAN PENGGANDAAN","True","720","720","True"
"4416","True","True","JURU TATA USAHA PERSONALIA","JURU TATA USAHA PERSONALIA","True","721","721","True"
"4419","True","True","JURU TATA USAHA YTDL","JURU TATA USAHA YTDL","True","722","722","True"
"5","True","True","TENAGA USAHA JASA DAN TENAGA PENJUALAN","TENAGA USAHA JASA DAN TENAGA PENJUALAN","True","727","727","True"
"51","True","True","TENAGA USAHA JASA PERORANGAN","TENAGA USAHA JASA PERORANGAN","True","727","727","True"
"511","True","True","TENAGA PELAYANAN PERJALANAN, KONDEKTUR, DAN PRAMUWISATA","TENAGA PELAYANAN PERJALANAN, KONDEKTUR, DAN PRAMUWISATA","True","728","728","True"
"5111","True","True","TENAGA PELAYANAN PERJALANAN","TENAGA PELAYANAN PERJALANAN","True","728","728","True"
"5112","True","True","KONDEKTUR TRANSPORTASI","KONDEKTUR TRANSPORTASI","True","730","730","True"
"5113","True","True","PRAMUWISATA","PRAMUWISATA","True","731","731","True"
"512","True","True","JURU MASAK","JURU MASAK","True","733","733","True"
"5120","True","True","JURU MASAK","JURU MASAK","True","734","734","True"
"513","True","True","PRAMUSAJI DAN PRAMUTAMA BAR/BARTENDER","PRAMUSAJI DAN PRAMUTAMA BAR/BARTENDER","True","735","735","True"
"5131","True","True","PRAMUSAJI","PRAMUSAJI","True","735","735","True"
"5132","True","True","PRAMUTAMA BAR/BARTENDER","PRAMUTAMA BAR/BARTENDER","True","736","736","True"
"514","True","True","PENATA RAMBUT, PERAWAT KECANTIKAN/BEAUTICIAN, DAN YBDI","PENATA RAMBUT, PERAWAT KECANTIKAN/BEAUTICIAN, DAN YBDI","True","737","737","True"
"5141","True","True","PENATA RAMBUT","PENATA RAMBUT","True","737","737","True"
"5142","True","True","PERAWAT KECANTIKAN/BEAUTICIAN DAN YBDI","PERAWAT KECANTIKAN/BEAUTICIAN DAN YBDI","True","738","738","True"
"515","True","True","TENAGA PENGAWAS GEDUNG DAN KERUMAHTANGGAAN","TENAGA PENGAWAS GEDUNG DAN KERUMAHTANGGAAN","True","740","740","True"
"5151","True","True","PENGAWAS KEBERSIHAN DAN KERUMAHTANGGAAN DI KANTOR, HOTEL, DAN BANGUNAN LAINNYA","PENGAWAS KEBERSIHAN DAN KERUMAHTANGGAAN DI KANTOR, HOTEL, DAN BANGUNAN LAINNYA","True","740","740","True"
"5152","True","True","PENGURUS KERUMAHTANGGAAN","PENGURUS KERUMAHTANGGAAN","True","742","742","True"
"5153","True","True","PENGELOLA GEDUNG","PENGELOLA GEDUNG","True","743","743","True"
"516","True","True","TENAGA USAHA JASA PERORANGAN LAINNYA","TENAGA USAHA JASA PERORANGAN LAINNYA","True","745","745","True"
"5161","True","True","ASTROLOG, PERAMAL, DAN YBDI","ASTROLOG, PERAMAL, DAN YBDI","True","745","745","True"
"5162","True","True","AJUDAN DAN PELAYAN PRIBADI","AJUDAN DAN PELAYAN PRIBADI","True","747","747","True"
"5163","True","True","PENGURUS PEMBALSEMAN DAN PEMAKAMAN JENAZAH","PENGURUS PEMBALSEMAN DAN PEMAKAMAN JENAZAH","True","748","748","True"
"5164","True","True","PELATIH DAN PEKERJA PERAWATAN HEWAN","PELATIH DAN PEKERJA PERAWATAN HEWAN","True","749","749","True"
"5165","True","True","INSTRUKTUR MENGEMUDI","INSTRUKTUR MENGEMUDI","True","751","751","True"
"5169","True","True","TENAGA USAHA JASA PERORANGAN YTDL","TENAGA USAHA JASA PERORANGAN YTDL","True","752","752","True"
"52","True","True","TENAGA PENJUALAN","TENAGA PENJUALAN","True","753","753","True"
"521","True","True","PEDAGANG PASAR DAN KAKI LIMA","PEDAGANG PASAR DAN KAKI LIMA","True","753","753","True"
"5211","True","True","PEDAGANG DI KIOS DAN LOS PASAR","PEDAGANG DI KIOS DAN LOS PASAR","True","754","754","True"
"5212","True","True","PEDAGANG MAKANAN KAKI LIMA","PEDAGANG MAKANAN KAKI LIMA","True","756","756","True"
"522","True","True","PEDAGANG TOKO","PEDAGANG TOKO","True","756","756","True"
"5221","True","True","PEMILIK TOKO","PEMILIK TOKO","True","757","757","True"
"5222","True","True","SUPERVISOR TOKO","SUPERVISOR TOKO","True","758","758","True"
"5223","True","True","ASISTEN PENJUALAN TOKO","ASISTEN PENJUALAN TOKO","True","760","760","True"
"523","True","True","KASIR DAN PETUGAS TIKET","KASIR DAN PETUGAS TIKET","True","761","761","True"
"5230","True","True","KASIR DAN PETUGAS TIKET","KASIR DAN PETUGAS TIKET","True","762","762","True"
"524","True","True","PEKERJA PENJUALAN LAINNYA","PEKERJA PENJUALAN LAINNYA","True","763","763","True"
"5241","True","True","MODEL FESYEN DAN MODEL LAINNYA","MODEL FESYEN DAN MODEL LAINNYA","True","764","764","True"
"5242","True","True","PERAGA PENJUALAN","PERAGA PENJUALAN","True","765","765","True"
"5243","True","True","PEDAGANG RUMAH KE RUMAH","PEDAGANG RUMAH KE RUMAH","True","766","766","True"
"5244","True","True","PEDAGANG MELALUI PUSAT INFORMASI","PEDAGANG MELALUI PUSAT INFORMASI","True","767","767","True"
"5245","True","True","PETUGAS STASIUN PENGISIAN BAHAN BAKAR","PETUGAS STASIUN PENGISIAN BAHAN BAKAR","True","768","768","True"
"5246","True","True","PETUGAS KONTER LAYANAN MAKANAN","PETUGAS KONTER LAYANAN MAKANAN","True","770","770","True"
"5249","True","True","PEKERJA PENJUALAN YTDL","PEKERJA PENJUALAN YTDL","True","771","771","True"
"53","True","True","TENAGA PERAWATAN PRIBADI","TENAGA PERAWATAN PRIBADI","True","772","772","True"
"531","True","True","PEKERJA PERAWATAN ANAK DAN ASISTEN PENGAJAR","PEKERJA PERAWATAN ANAK DAN ASISTEN PENGAJAR","True","772","772","True"
"5311","True","True","PEKERJA PERAWATAN ANAK","PEKERJA PERAWATAN ANAK","True","772","772","True"
"5312","True","True","ASISTEN PENGAJAR","ASISTEN PENGAJAR","True","774","774","True"
"532","True","True","PEKERJA PERAWATAN PRIBADI DALAM JASA KESEHATAN","PEKERJA PERAWATAN PRIBADI DALAM JASA KESEHATAN","True","775","775","True"
"5321","True","True","ASISTEN PERAWATAN KESEHATAN","ASISTEN PERAWATAN KESEHATAN","True","776","776","True"
"5322","True","True","PEKERJA PERAWATAN PRIBADI DI RUMAH","PEKERJA PERAWATAN PRIBADI DI RUMAH","True","778","778","True"
"5329","True","True","PEKERJA PERAWATAN PRIBADI DALAM JASA KESEHATAN YTDL","PEKERJA PERAWATAN PRIBADI DALAM JASA KESEHATAN YTDL","True","781","781","True"
"54","True","True","TENAGA USAHA JASA PERLINDUNGAN","TENAGA USAHA JASA PERLINDUNGAN","True","783","783","True"
"541","True","True","TENAGA USAHA JASA PERLINDUNGAN","TENAGA USAHA JASA PERLINDUNGAN","True","783","783","True"
"5411","True","True","PETUGAS PEMADAM KEBAKARAN","PETUGAS PEMADAM KEBAKARAN","True","784","784","True"
"5413","True","True","PENJAGA LEMBAGA PEMASYARAKATAN","PENJAGA LEMBAGA PEMASYARAKATAN","True","785","785","True"
"5414","True","True","PENJAGA KEAMANAN","PENJAGA KEAMANAN","True","786","786","True"
"5419","True","True","TENAGA USAHA JASA PERLINDUNGAN YTDL","TENAGA USAHA JASA PERLINDUNGAN YTDL","True","788","788","True"
"6","True","True","PEKERJA TERAMPIL PERTANIAN, KEHUTANAN, DAN PERIKANAN","PEKERJA TERAMPIL PERTANIAN, KEHUTANAN, DAN PERIKANAN","True","793","793","True"
"61","True","True","PEKERJA TERAMPIL PERTANIAN BERORIENTASI PASAR","PEKERJA TERAMPIL PERTANIAN BERORIENTASI PASAR","True","793","793","True"
"611","True","True","PEKERJA PERTANIAN DAN PERKEBUNAN","PEKERJA PERTANIAN DAN PERKEBUNAN","True","794","794","True"
"6111","True","True","PEKERJA PERTANIAN TANAMAN PANGAN DAN TANAMAN SEMUSIM","PEKERJA PERTANIAN TANAMAN PANGAN DAN TANAMAN SEMUSIM","True","794","794","True"
"6112","True","True","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK","True","797","797","True"
"6113","True","True","PEKERJA PERTANIAN TANAMAN KEBUN BIBIT DAN TANAMAN TAMAN","PEKERJA PERTANIAN TANAMAN KEBUN BIBIT DAN TANAMAN TAMAN","True","800","800","True"
