"kode","terpindai_kolom_kode","terbaca_sebagai_judul","halaman_pdf","jumlah_kemunculan"
"5244","True","True","799","1"
"5245","True","True","800","1"
"5246","True","True","802","1"
"5249","True","True","803","1"
"5311","True","True","804","1"
"5312","True","True","806","1"
"5321","True","True","808","1"
"5322","True","True","810","1"
"5329","True","True","813","1"
"5411","True","True","816","1"
"5413","True","True","817","1"
"5414","True","True","818","1"
"5419","True","True","820","1"
"6111","True","True","826","1"
"6112","True","True","829","1"
"6113","True","True","832","1"
"6114","True","True","834","1"
"6121","True","True","836","1"
"6122","True","True","842","1"
"6123","True","True","843","1"
"6129","True","True","844","1"
"6130","True","True","847","1"
"6210","True","True","849","1"
"6221","True","True","853","1"
"6222","True","True","856","1"
"6223","True","True","857","1"
"6224","True","True","859","1"
"6310","True","True","861","1"
"6320","True","True","862","1"
"6330","True","True","864","1"
"6340","True","True","865","1"
"7111","True","True","873","1"
"7112","True","True","873","1"
"7113","True","True","874","1"
"7114","True","True","875","1"
"7115","True","True","875","1"
"7119","True","True","877","1"
"7121","True","True","879","1"
"7122","True","True","880","1"
"7123","True","True","881","1"
"7124","True","True","882","1"
"7125","True","True","884","1"
"7126","True","True","885","1"
"7127","True","True","886","1"
"7131","True","True","887","1"
"7132","True","True","888","1"
"7133","True","True","889","1"
"7211","True","True","891","1"
"7212","True","True","891","1"
"7213","True","True","893","1"
"7214","True","True","894","1"
"7215","True","True","895","1"
"7221","True","True","896","1"
"7222","True","True","897","1"
"7223","True","True","899","1"
"7224","True","True","900","1"
"7231","True","True","902","1"
"7232","True","True","904","1"
"7233","True","True","907","1"
"7234","True","True","908","1"
"7311","True","True","910","1"
"7312","True","True","912","1"
"7313","True","True","914","1"
"7314","True","True","915","1"
"7315","True","True","917","1"
"7316","True","True","918","1"
"7317","True","True","920","1"
"7318","True","True","921","1"
"7319","True","True","923","1"
"7321","True","True","924","1"
"7322","True","True","926","1"
"7323","True","True","927","1"
"7411","True","True","930","1"
"7412","True","True","931","1"
"7413","True","True","932","1"
"7421","True","True","933","1"
"7422","True","True","935","1"
"7511","True","True","937","1"
"7512","True","True","939","1"
"7513","True","True","940","1"
"7514","True","True","941","1"
"7515","True","True","943","1"
"7516","True","True","944","1"
"7521","True","True","946","1"
"7522","True","True","947","1"
"7523","True","True","948","1"
"7531","True","True","950","1"
"7532","True","True","952","1"
"7533","True","True","953","1"
"7534","True","True","955","1"
"7535","True","True","956","1"
"7536","True","True","957","1"
"7541","True","True","959","1"
"7542","True","True","961","1"
"7543","True","True","962","1"
"7544","True","True","963","1"
"7549","True","True","964","1"
"8111","True","True","970","1"
"8112","True","True","974","1"
"8113","True","True","976","1"
"8114","True","True","978","1"
"8121","True","True","981","1"
"8122","True","True","983","1"
"8131","True","True","986","1"
"8132","True","True","989","1"
"8141","True","True","991","1"
"8142","True","True","993","1"
"8143","True","True","995","1"
"8151","True","True","998","1"
"8152","True","True","1000","1"
"8153","True","True","1001","1"
"8154","True","True","1003","1"
"8155","True","True","1004","1"
"8156","True","True","1006","1"
"8157","True","True","1006","1"
"8159","True","True","1008","1"
"8160","True","True","1010","1"
