"kode","kode_normalisasi","jumlah_digit","tingkat","kode_induk","nama_resmi","kode_golongan_pokok","nama_golongan_pokok","jalur_kode","kelompok_sisa","halaman_cetak_mulai"
"3341.04","334104","6","Jabatan","3341","SUPERVISOR PERSONALIA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3341 > 3341.04","tidak","622"
"3341.05","334105","6","Jabatan","3341","SUPERVISOR LAYANAN PELANGGAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3341 > 3341.05","tidak","623"
"3341.99","334199","6","Jabatan","3341","SUPERVISOR KANTOR LAINNYA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3341 > 3341.99","ya","623"
"3342","3342","4","Subgolongan","334","SEKRETARIS HUKUM","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3342","tidak","623"
"3342.01","334201","6","Jabatan","3342","ASISTEN ADMINISTRASI HUKUM","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3342 > 3342.01","tidak","624"
"3342.02","334202","6","Jabatan","3342","MANAJER PRAKTISI HUKUM","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3342 > 3342.02","tidak","624"
"3342.99","334299","6","Jabatan","3342","SEKRETARIS HUKUM LAINNYA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3342 > 3342.99","ya","625"
"3343","3343","4","Subgolongan","334","SEKRETARIS ADMINISTRASI DAN EKSEKUTIF","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3343","tidak","625"
"3343.01","334301","6","Jabatan","3343","SEKRETARIS ADMINISTRASI","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3343 > 3343.01","tidak","625"
"3343.02","334302","6","Jabatan","3343","ASISTEN KORESPONDEN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3343 > 3343.02","tidak","626"
"3343.03","334303","6","Jabatan","3343","ASISTEN PRIBADI","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3343 > 3343.03","tidak","626"
"3343.04","334304","6","Jabatan","3343","REPORTER PENGADILAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3343 > 3343.04","tidak","626"
"3343.05","334305","6","Jabatan","3343","ASISTEN EKSEKUTIF","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3343 > 3343.05","tidak","627"
"3343.99","334399","6","Jabatan","3343","SEKRETARIS ADMINISTRASI DAN EKSEKUTIF LAINNYA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3343 > 3343.99","ya","627"
"3344","3344","4","Subgolongan","334","SEKRETARIS MEDIS","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3344","tidak","628"
"3344.01","334401","6","Jabatan","3344","ASISTEN ADMINISTRASI MEDIS","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3344 > 3344.01","tidak","629"
"3344.02","334402","6","Jabatan","3344","MANAJER PRAKTIK KESEHATAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3344 > 3344.02","tidak","629"
"3344.03","334403","6","Jabatan","3344","ASISTEN ADMINISTRASI KANTOR MEDIS","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3344 > 3344.03","tidak","629"
"3344.04","334404","6","Jabatan","3344","MEDIS ASURANSI","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3344 > 3344.04","tidak","629"
"3344.05","334405","6","Jabatan","3344","TRANSKRIPSIONIS MEDIS","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3344 > 3344.05","tidak","630"
"3344.99","334499","6","Jabatan","3344","SEKRETARIS MEDIS LAINNYA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 334 > 3344 > 3344.99","ya","630"
"335","335","3","Golongan","33","PROFESIONAL PEMERINTAHAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335","tidak","630"
"3351","3351","4","Subgolongan","335","PENGAWAS BEA CUKAI DAN PERBATASAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3351","tidak","631"
"3351.01","335101","6","Jabatan","3351","PENGAWAS PERBATASAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3351 > 3351.01","tidak","632"
"3351.02","335102","6","Jabatan","3351","PENGAWAS BEA CUKAI","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3351 > 3351.02","tidak","632"
"3351.03","335103","6","Jabatan","3351","PETUGAS PEMERIKSA PASPOR","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3351 > 3351.03","tidak","632"
"3351.04","335104","6","Jabatan","3351","PETUGAS IMIGRASI","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3351 > 3351.04","tidak","633"
"3351.05","335105","6","Jabatan","3351","PETUGAS BEA CUKAI","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3351 > 3351.05","tidak","633"
"3351.99","335199","6","Jabatan","3351","PENGAWAS BEA CUKAI DAN PERBATASAN LAINNYA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3351 > 3351.99","ya","634"
"3352","3352","4","Subgolongan","335","PETUGAS PAJAK DAN RETRIBUSI PEMERINTAH","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3352","tidak","634"
"3352.01","335201","6","Jabatan","3352","PETUGAS PAJAK","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3352 > 3352.01","tidak","634"
"3352.02","335202","6","Jabatan","3352","PENGAWAS PERPAJAKAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3352 > 3352.02","tidak","634"
"3352.99","335299","6","Jabatan","3352","PETUGAS PAJAK DAN RETRIBUSI PEMERINTAH LAINNYA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3352 > 3352.99","ya","635"
"3353","3353","4","Subgolongan","335","PEGAWAI PEMERINTAH BIDANG JAMINAN SOSIAL","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3353","tidak","635"
"3353.01","335301","6","Jabatan","3353","PETUGAS JAMINAN PENSIUN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3353 > 3353.01","tidak","635"
"3353.02","335302","6","Jabatan","3353","PETUGAS JAMINAN SOSIAL","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3353 > 3353.02","tidak","635"
"3353.03","335303","6","Jabatan","3353","PETUGAS KLAIM JAMINAN SOSIAL","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3353 > 3353.03","tidak","636"
"3353.99","335399","6","Jabatan","3353","PEGAWAI PEMERINTAH BIDANG JAMINAN SOSIAL LAINNYA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3353 > 3353.99","ya","636"
"3354","3354","4","Subgolongan","335","PEGAWAI PEMERINTAH BIDANG PERIZINAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3354","tidak","636"
